"PREC","pop_total","pop_hisp_pct","pop_income","pop_college_pct","VR_total_2020","VR_hisp_pct_2020","VR_turnout_2020","votes_trump_2020","votes_biden_2020","votes_trump_pct_2020","votes_biden_pct_2020","votes_total_2020","VR_total_2016","VR_hisp_pct_2016","VR_turnout_2016","votes_trump_2016","votes_clinton_2016","votes_trump_pct_2016","votes_total_2016","votes_clinton_pct_2016","votes_trump_difference"
"2034",2334.2586490939,73.1620903454384,16712,2.90723479804705,1628,49.1,23.6486486486486,92,283,23.8961038961039,73.5064935064935,385,1396,52.1,22.9226361031519,49,258,15.3125,320,80.625,8.58360389610389
"2036",2078.96343606881,43.8956231972292,71686.8862806468,59.0310294703101,1562,22.1,81.6261203585147,358,898,28.078431372549,70.4313725490196,1275,1507,24.2,73.8553417385534,314,737,28.2120395327942,1113,66.2174303683738,-0.133608160245227
"4155",3534.70488835244,79.3637466109151,48445.3004366812,27.2852776756127,2425,54.8,67.8350515463918,366,1247,22.2492401215805,75.8054711246201,1645,2313,57,59.1007349762214,248,1029,18.1419166057059,1367,75.2743233357718,4.10732351587462
"3048",2104.13160870794,17.3943962451998,108103,71.8524983635173,1663,11.5,77.2098616957306,519,743,40.4205607476636,57.8660436137072,1284,1421,11.9,76.2139338494018,495,505,45.7063711911357,1083,46.6297322253001,-5.28581044347219
"3047",2243.28060503251,17.3943962451998,108103,71.8524983635173,1811,14.7,82.551076753175,671,804,44.8829431438127,53.7792642140468,1495,1773,14.1,74.0552735476593,632,589,48.1340441736481,1313,44.8591012947449,-3.25110102983543
"2135",1933.80576307364,52.2661815976959,56332,45.5148741418764,781,56.7,59.4110115236876,140,313,30.1724137931034,67.4568965517241,464,698,62.5,45.5587392550143,83,217,26.1006289308176,318,68.2389937106918,4.07178486228584
"3027",2590.924226254,52.2661815976959,56332,45.5148741418764,1530,21.2,78.7581699346405,597,588,49.5435684647303,48.7966804979253,1205,1459,17.9,71.8985606579849,548,422,52.2402287893232,1049,40.2287893231649,-2.69666032459287
"3046",1862.71972760162,34.937917860554,72371,66.7180673348754,1528,19.1,79.1884816753927,523,669,43.2231404958678,55.2892561983471,1210,1541,19.4,72.290720311486,529,519,47.4865350089767,1114,46.588868940754,-4.26339451310889
"3028",3196,36.2640801001252,76336,32.6539278131635,2170,34.8,68.8940092165899,729,752,48.7625418060201,50.3010033444816,1495,2021,31.8,61.7516081147947,618,551,49.5192307692308,1248,44.150641025641,-0.756688963210706
"4171",1943.78750556462,52.429769671149,62262,21.5677966101695,1257,33.4,74.6221161495624,455,466,48.5074626865672,49.680170575693,938,1189,30.9,65.6013456686291,405,324,51.9230769230769,780,41.5384615384615,-3.41561423650976
"4032",3525.27838444278,85.9077165768371,45724,12.0537505014039,1770,70.3,59.5480225988701,357,682,33.8709677419355,64.7058823529412,1054,1695,69.3,53.1563421828909,272,591,30.188679245283,901,65.5937846836848,3.68228849665246
"4031",4462.81765145849,87.767408528189,46557.3121238177,7.32995298522627,1966,76.9,50.3051881993896,275,701,27.8058645096057,70.8796764408493,989,1859,77.6,43.9483593329747,195,586,23.8678090575275,817,71.7258261933904,3.93805545207812
"3029",1772.3272682567,50.9018036072144,104293,43.2375822860563,1286,34.4,74.6500777604977,388,549,40.4166666666667,57.1875,960,1287,34.9,65.034965034965,360,412,43.010752688172,837,49.2234169653524,-2.59408602150538
"3143",2228.38406687976,50.9018036072144,104293,43.2375822860563,1567,40,73.3248245054244,497,641,43.2550043516101,55.7876414273281,1149,1535,38.2,63.0618892508143,425,483,43.904958677686,968,49.896694214876,-0.649954326075857
"4030",1031.38747099768,72.612748803225,25042,9.50292397660819,426,47.7,42.018779342723,17,161,9.49720670391061,89.9441340782123,179,405,40.5,33.8271604938272,4,132,2.91970802919708,137,96.3503649635037,6.57749867471353
"4037",4024.05630706369,66.2294471541126,30252.7706473214,9.9275289345984,1914,39.5,44.9843260188088,120,735,13.9372822299652,85.3658536585366,861,1890,33.7,40.2116402116402,79,662,10.3947368421053,760,87.1052631578947,3.54254538785989
"2042",3771.46738532537,89.3934372527495,39621.3886168911,3.82081181729389,1768,80,49.9434389140271,205,661,23.2163080407701,74.8584371460929,883,1692,82.3,46.0401891252955,152,600,19.5121951219512,779,77.0218228498074,3.70411291881888
"2083",1085.02969247084,76.2487257900102,87031,41.5506958250497,739,66.6,74.0189445196211,127,410,23.217550274223,74.9542961608775,547,677,67.1,63.0723781388479,89,308,20.8430913348946,427,72.1311475409836,2.37445893932842
